,node,active_power_from,active_power_to,reactive_power_from,reactive_power_to,month,hour_of_day,day_of_month,daytype,timezone,line
0,WECClink156-157,2.3423163,-2.3407193,-0.0051990458000000005,0.10155085,january,0,1,weekday,,WECClink156-157
6,WECClink156-157,2.1162361,-2.1149153999999997,-0.37358146,0.45326459,january,1,1,weekday,,WECClink156-157
12,WECClink156-157,2.0808801,-2.0796023,-0.37442202,0.45151162,january,2,1,weekday,,WECClink156-157
18,WECClink156-157,2.0705386999999997,-2.0692734,-0.37464516,0.45098459,january,3,1,weekday,,WECClink156-157
24,WECClink156-157,2.068648,-2.0673849,-0.37465278,0.45085474,january,4,1,weekday,,WECClink156-157
30,WECClink156-157,2.0931558,-2.0918633,-0.37411669999999997,0.45210123,january,5,1,weekday,,WECClink156-157
36,WECClink156-157,2.1658641,-2.1644818,-0.37219848,0.45559849999999996,january,6,1,weekday,,WECClink156-157
42,WECClink156-157,2.2901743,-2.2886312,-0.36781182,0.46091333,january,7,1,weekday,,WECClink156-157
48,WECClink156-157,2.3288645,-2.3272695,-0.36592306,0.46215271,january,8,1,weekday,,WECClink156-157
54,WECClink156-157,2.1659971000000002,-2.1646147,-0.37179136,0.45519136,january,9,1,weekday,,WECClink156-157
60,WECClink156-157,2.0251459,-2.0239346,-0.37497685,0.44805728,january,10,1,weekday,,WECClink156-157
66,WECClink156-157,1.9213891,-1.9202960999999998,-0.37660745,0.44254976,january,11,1,weekday,,WECClink156-157
72,WECClink156-157,1.8962366999999998,-1.8951714,-0.37697952,0.44125173,january,12,1,weekday,,WECClink156-157
78,WECClink156-157,1.8940816999999999,-1.8930188000000001,-0.37700402,0.44113407,january,13,1,weekday,,WECClink156-157
84,WECClink156-157,1.8999130000000002,-1.8988436999999998,-0.37691624,0.44143089,january,14,1,weekday,,WECClink156-157
90,WECClink156-157,1.9460867,-1.9449662,-0.37633594,0.4439433,january,15,1,weekday,,WECClink156-157
96,WECClink156-157,2.0524489,-2.0512053,-0.37482869,0.44986098,january,16,1,weekday,,WECClink156-157
102,WECClink156-157,2.3366826,-2.3350767000000006,-0.36633952,0.46323099,january,17,1,weekday,,WECClink156-157
108,WECClink156-157,2.5860421000000002,-2.5840782000000004,-0.35223129,0.47072523,january,18,1,weekday,,WECClink156-157
114,WECClink156-157,2.6792601,-2.6771517000000005,-0.34694022,0.47415048,january,19,1,weekday,,WECClink156-157
120,WECClink156-157,2.6697267000000005,-2.6676332,-0.34759405,0.47389933,january,20,1,weekday,,WECClink156-157
126,WECClink156-157,2.6320792,-2.6300444,-0.35008737,0.47285617,january,21,1,weekday,,WECClink156-157
132,WECClink156-157,2.5286132,-2.5267348999999997,-0.35656063,0.46988947,january,22,1,weekday,,WECClink156-157
138,WECClink156-157,2.370205,-2.3685532000000005,-0.3646841,0.46434200000000003,january,23,1,weekday,,WECClink156-157
144,WECClink156-157,2.2307193,-2.2292542,-0.37023478,0.45862918,january,0,3,weekend,,WECClink156-157
150,WECClink156-157,2.1381495999999998,-2.1368019,-0.37303753,0.45435168,january,1,3,weekend,,WECClink156-157
156,WECClink156-157,2.1020866000000002,-2.1007832000000004,-0.37392488,0.45256474,january,2,3,weekend,,WECClink156-157
162,WECClink156-157,2.0910297,-2.0897397,-0.37417411,0.45200337,january,3,3,weekend,,WECClink156-157
168,WECClink156-157,2.0887511,-2.0874639,-0.37422858,0.45189145,january,4,3,weekend,,WECClink156-157
174,WECClink156-157,2.1154497,-2.11413,-0.37356173,0.45318619,january,5,3,weekend,,WECClink156-157
180,WECClink156-157,2.1912876,-2.1898731,-0.37140077,0.45673933,january,6,3,weekend,,WECClink156-157
186,WECClink156-157,2.3185563,-2.3169751,-0.36668484,0.4620827,january,7,3,weekend,,WECClink156-157
192,WECClink156-157,2.3512977999999998,-2.3496723,-0.36488797,0.46296081,january,8,3,weekend,,WECClink156-157
198,WECClink156-157,2.1552073,-2.1538385,-0.37205431,0.45463838,january,9,3,weekend,,WECClink156-157
204,WECClink156-157,2.0082569,-2.0070653000000003,-0.3752574,0.44714936,january,10,3,weekend,,WECClink156-157
210,WECClink156-157,1.9080824,-1.9070041000000002,-0.37670329,0.44175784,january,11,3,weekend,,WECClink156-157
216,WECClink156-157,1.8851936000000002,-1.8841404,-0.37698746,0.44053146,january,12,3,weekend,,WECClink156-157
222,WECClink156-157,1.8831131,-1.8820622,-0.37695474,0.44036116,january,13,3,weekend,,WECClink156-157
228,WECClink156-157,1.8851514999999999,-1.8840983,-0.37690508,0.44044465,january,14,3,weekend,,WECClink156-157
234,WECClink156-157,1.9295057,-1.9284038000000001,-0.37624655,0.44272879,january,15,3,weekend,,WECClink156-157
240,WECClink156-157,2.0354148999999997,-2.0341918000000003,-0.37406324,0.44785635,january,16,3,weekend,,WECClink156-157
246,WECClink156-157,2.321431,-2.3198459,-0.3665266,0.46215916,january,17,3,weekend,,WECClink156-157
252,WECClink156-157,2.6198265,-2.6178105,-0.35096544,0.47259924,january,18,3,weekend,,WECClink156-157
258,WECClink156-157,2.7287654,-2.7265782000000005,-0.3432634,0.47522395,january,19,3,weekend,,WECClink156-157
264,WECClink156-157,2.7187388,-2.7165677,-0.34399627,0.47498598,january,20,3,weekend,,WECClink156-157
270,WECClink156-157,2.6800652,-2.6779555,-0.3467482,0.47403379999999995,january,21,3,weekend,,WECClink156-157
276,WECClink156-157,2.57085,-2.5689086,-0.35399054,0.47112375,january,22,3,weekend,,WECClink156-157
282,WECClink156-157,2.4047932,-2.4030932999999997,-0.36312026,0.46568425,january,23,3,weekend,,WECClink156-157
0,WECClink157-161,-0.68542557,0.69058221,-0.32008771,0.018329072,january,0,1,weekday,,WECClink157-161
6,WECClink157-161,-0.67482874,0.67945875,-0.18859341,-0.12379188,january,1,1,weekday,,WECClink157-161
12,WECClink157-161,-0.67462355,0.67924748,-0.18606108,-0.12649156,january,2,1,weekday,,WECClink157-161
18,WECClink157-161,-0.67456377,0.67918595,-0.18532343,-0.12727771,january,3,1,weekday,,WECClink157-161
24,WECClink157-161,-0.67455173,0.67917357,-0.18517495,-0.12743594,january,4,1,weekday,,WECClink157-161
30,WECClink157-161,-0.6746943,0.67932031,-0.18693423,-0.12556086,january,5,1,weekday,,WECClink157-161
36,WECClink157-161,-0.67512377,0.67976279,-0.19223526,-0.11990695,january,6,1,weekday,,WECClink157-161
42,WECClink157-161,-0.67587835,0.68054183,-0.20155468,-0.10995257,january,7,1,weekday,,WECClink157-161
48,WECClink157-161,-0.67611051,0.68078192,-0.20442329,-0.10688476,january,8,1,weekday,,WECClink157-161
54,WECClink157-161,-0.67510858,0.67974713,-0.19204775,-0.12010704,january,9,1,weekday,,WECClink157-161
60,WECClink157-161,-0.67428754,0.67890183,-0.18191545,-0.13090822,january,10,1,weekday,,WECClink157-161
66,WECClink157-161,-0.67372155,0.67832052,-0.17493546,-0.13833632,january,11,1,weekday,,WECClink157-161
72,WECClink157-161,-0.67359216,0.67818777,-0.17334022,-0.14003252,january,12,1,weekday,,WECClink157-161
78,WECClink157-161,-0.67358093,0.67817626,-0.17320187,-0.14017961,january,13,1,weekday,,WECClink157-161
84,WECClink157-161,-0.67361056,0.67820665,-0.17356711,-0.13979131,january,14,1,weekday,,WECClink157-161
90,WECClink157-161,-0.6738555,0.67845799,-0.17658708,-0.1365796,january,15,1,weekday,,WECClink157-161
96,WECClink157-161,-0.67445356,0.67907257,-0.18396368,-0.12872654,january,16,1,weekday,,WECClink157-161
102,WECClink157-161,-0.67619439,0.68086872,-0.20545996,-0.10577566,january,17,1,weekday,,WECClink157-161
108,WECClink157-161,-0.67783381,0.68257027,-0.22573792,-0.084034217,january,18,1,weekday,,WECClink157-161
114,WECClink157-161,-0.6785348000000001,0.68330084,-0.2344186,-0.074699624,january,19,1,weekday,,WECClink157-161
120,WECClink157-161,-0.67846342,0.68322637,-0.23353441,-0.075651179,january,20,1,weekday,,WECClink157-161
126,WECClink157-161,-0.67819339,0.6829448,-0.23018999,-0.079248835,january,21,1,weekday,,WECClink157-161
132,WECClink157-161,-0.67746237,0.68218389,-0.2211406,-0.088971173,january,22,1,weekday,,WECClink157-161
138,WECClink157-161,-0.67639902,0.68108057,-0.20798915,-0.10306880000000002,january,23,1,weekday,,WECClink157-161
144,WECClink157-161,-0.67551604,0.68016751,-0.19707904,-0.11473547,january,0,3,weekend,,WECClink157-161
150,WECClink157-161,-0.67495913,0.67959308,-0.19020275,-0.12207547,january,1,3,weekend,,WECClink157-161
156,WECClink157-161,-0.67474708,0.67937465,-0.18758548,-0.12486659,january,2,3,weekend,,WECClink157-161
162,WECClink157-161,-0.67468231,0.67930796,-0.18678616,-0.12571871,january,3,3,weekend,,WECClink157-161
168,WECClink157-161,-0.67466915,0.67929442,-0.18662384,-0.12589172,january,4,3,weekend,,WECClink157-161
174,WECClink157-161,-0.67482473,0.67945462,-0.18854391,-0.12384466,january,5,3,weekend,,WECClink157-161
180,WECClink157-161,-0.67527683,0.67992065,-0.1941251,-0.11788985,january,6,3,weekend,,WECClink157-161
186,WECClink157-161,-0.67605967,0.68072933,-0.20379506,-0.10755676,january,7,3,weekend,,WECClink157-161
192,WECClink157-161,-0.67625534,0.68093181,-0.20621326,-0.10496959,january,8,3,weekend,,WECClink157-161
198,WECClink157-161,-0.67504677,0.67968341,-0.19128462,-0.12092131,january,9,3,weekend,,WECClink157-161
204,WECClink157-161,-0.67419572,0.67880745,-0.1807829,-0.13211419,january,10,3,weekend,,WECClink157-161
210,WECClink157-161,-0.67365414,0.67825136,-0.17410441,-0.13922003,january,11,3,weekend,,WECClink157-161
216,WECClink157-161,-0.67353607,0.67813026,-0.17264885,-0.14076748,january,12,3,weekend,,WECClink157-161
222,WECClink157-161,-0.67352349,0.67811736,-0.17249383,-0.14093226,january,13,3,weekend,,WECClink157-161
228,WECClink157-161,-0.67353353,0.67812766,-0.17261759,-0.14080071,january,14,3,weekend,,WECClink157-161
234,WECClink157-161,-0.67376195,0.67836197,-0.17543359,-0.13780655,january,15,3,weekend,,WECClink157-161
240,WECClink157-161,-0.67432604,0.67894142,-0.18239039,-0.13040242,january,16,3,weekend,,WECClink157-161
246,WECClink157-161,-0.67608225,0.68075268,-0.20407403,-0.10725837,january,17,3,weekend,,WECClink157-161
252,WECClink157-161,-0.67811431,0.68286239,-0.22921067,-0.080301851,january,18,3,weekend,,WECClink157-161
258,WECClink157-161,-0.67890181,0.68368407,-0.2389659,-0.06980316,january,19,3,weekend,,WECClink157-161
264,WECClink157-161,-0.67882528,0.68360412,-0.2380176,-0.070824652,january,20,3,weekend,,WECClink157-161
270,WECClink157-161,-0.67854362,0.68331005,-0.23452787,-0.07458201,january,21,3,weekend,,WECClink157-161
276,WECClink157-161,-0.6777588999999999,0.68249231,-0.22481062,-0.08503039999999999,january,22,3,weekend,,WECClink157-161
282,WECClink157-161,-0.67662781,0.68131762,-0.21081772,-0.10003989999999999,january,23,3,weekend,,WECClink157-161
0,WECClink42-57,0.90509683,-0.90308352,0.41169101,-0.44989797,january,0,1,weekday,,WECClink42-57
6,WECClink42-57,0.85904112,-0.85750815,0.20402775,-0.25180755,january,1,1,weekday,,WECClink42-57
12,WECClink42-57,0.85549513,-0.85397638,0.20184294,-0.24986892,january,2,1,weekday,,WECClink42-57
18,WECClink42-57,0.8544088,-0.85289439,0.20117998,-0.24928097,january,3,1,weekday,,WECClink42-57
24,WECClink42-57,0.85401923,-0.85250638,0.20093797,-0.24906595,january,4,1,weekday,,WECClink42-57
30,WECClink42-57,0.85663949,-0.85511615,0.20255821,-0.25050459,january,5,1,weekday,,WECClink42-57
36,WECClink42-57,0.86406401,-0.86251068,0.20719799,-0.25462494,january,6,1,weekday,,WECClink42-57
42,WECClink42-57,0.87536059,-0.87376074,0.21446817,-0.26108872,january,7,1,weekday,,WECClink42-57
48,WECClink42-57,0.87720277,-0.87559524,0.21567723,-0.26216453,january,8,1,weekday,,WECClink42-57
54,WECClink42-57,0.86140398,-0.8598613000000002,0.20565862,-0.25326897,january,9,1,weekday,,WECClink42-57
60,WECClink42-57,0.84640727,-0.84492426,0.19657927,-0.2452218,january,10,1,weekday,,WECClink42-57
66,WECClink42-57,0.83669404,-0.83524866,0.19098417,-0.24027633,january,11,1,weekday,,WECClink42-57
72,WECClink42-57,0.83498345,-0.83354462,0.19001692,-0.23942208,january,12,1,weekday,,WECClink42-57
78,WECClink42-57,0.83480597,-0.83336782,0.1899094,-0.23932646,january,13,1,weekday,,WECClink42-57
84,WECClink42-57,0.83516931,-0.83372978,0.19010701,-0.23950031,january,14,1,weekday,,WECClink42-57
90,WECClink42-57,0.839302,-0.83784662,0.19243579,-0.24155572,january,15,1,weekday,,WECClink42-57
96,WECClink42-57,0.85132491,-0.84982262,0.19942539,-0.24773526,january,16,1,weekday,,WECClink42-57
102,WECClink42-57,0.88302911,-0.88139696,0.21963431,-0.26569353,january,17,1,weekday,,WECClink42-57
108,WECClink42-57,0.90188096,-0.90016703,0.23291449,-0.27755179,january,18,1,weekday,,WECClink42-57
114,WECClink42-57,0.91647314,-0.91469372,0.24361777,-0.28711553,january,19,1,weekday,,WECClink42-57
120,WECClink42-57,0.91530397,-0.9135299000000001,0.24272979,-0.28632061,january,20,1,weekday,,WECClink42-57
126,WECClink42-57,0.9115383,-0.9097813,0.23992070000000004,-0.28380869,january,21,1,weekday,,WECClink42-57
132,WECClink42-57,0.90099562,-0.89928573,0.23217375,-0.27688195,january,22,1,weekday,,WECClink42-57
138,WECClink42-57,0.88482822,-0.88318844,0.22083156,-0.26675875,january,23,1,weekday,,WECClink42-57
144,WECClink42-57,0.87073545,-0.8691548000000001,0.21144498,-0.25839847,january,0,3,weekend,,WECClink42-57
150,WECClink42-57,0.86144967,-0.85990696,0.20554819,-0.25315908,january,1,3,weekend,,WECClink42-57
156,WECClink42-57,0.85767795,-0.85615043,0.20320559,-0.25107968,january,2,3,weekend,,WECClink42-57
162,WECClink42-57,0.85646528,-0.85494262,0.20246761,-0.25042561,january,3,3,weekend,,WECClink42-57
168,WECClink42-57,0.856243,-0.85472123,0.20233054,-0.25030396,january,4,3,weekend,,WECClink42-57
174,WECClink42-57,0.85889028,-0.85735788,0.20397431,-0.25176352,january,5,3,weekend,,WECClink42-57
180,WECClink42-57,0.8665454,-0.86498192,0.20879933,-0.25605008,january,6,3,weekend,,WECClink42-57
186,WECClink42-57,0.87836643,-0.87675396,0.21650221,-0.26290322,january,7,3,weekend,,WECClink42-57
192,WECClink42-57,0.87934203,-0.87772549,0.21712371,-0.2634545,january,8,3,weekend,,WECClink42-57
198,WECClink42-57,0.86043876,-0.85889994,0.20509024,-0.25276722,january,9,3,weekend,,WECClink42-57
204,WECClink42-57,0.84493081,-0.84345355,0.19573483,-0.24447649999999999,january,10,3,weekend,,WECClink42-57
210,WECClink42-57,0.83565183,-0.83421045,0.19038786,-0.23974911,january,11,3,weekend,,WECClink42-57
216,WECClink42-57,0.83390991,-0.83247518,0.18940446,-0.23888058,january,12,3,weekend,,WECClink42-57
222,WECClink42-57,0.8334181,-0.83198526,0.18912285,-0.23863149,january,13,3,weekend,,WECClink42-57
228,WECClink42-57,0.83347356,-0.83204052,0.18913946,-0.23864485,january,14,3,weekend,,WECClink42-57
234,WECClink42-57,0.83651024,-0.83506558,0.19086058,-0.24016550000000003,january,15,3,weekend,,WECClink42-57
240,WECClink42-57,0.84367478,-0.8422023999999999,0.19501468,-0.2438408,january,16,3,weekend,,WECClink42-57
246,WECClink42-57,0.87895688,-0.87734189,0.21692727,-0.26328431,january,17,3,weekend,,WECClink42-57
252,WECClink42-57,0.91127205,-0.90951624,0.23973442,-0.28364296,january,18,3,weekend,,WECClink42-57
258,WECClink42-57,0.92146692,-0.91966451,0.24746665,-0.29056348,january,19,3,weekend,,WECClink42-57
264,WECClink42-57,0.92023296,-0.91843625,0.24651338,-0.28970962,january,20,3,weekend,,WECClink42-57
270,WECClink42-57,0.91650046,-0.91472087,0.24368355,-0.28717778,january,21,3,weekend,,WECClink42-57
276,WECClink42-57,0.90535498,-0.90362572,0.23536722,-0.27973804,january,22,3,weekend,,WECClink42-57
282,WECClink42-57,0.88865133,-0.8869952,0.22346416,-0.26910699,january,23,3,weekend,,WECClink42-57
0,WECClink50-57,1.4135087,-1.4127604,0.0015870004,-0.0023810819,january,0,1,weekday,,WECClink50-57
6,WECClink50-57,0.98754364,-0.98703156,-0.66640976,0.66297997,january,1,1,weekday,,WECClink50-57
12,WECClink50-57,0.95876096,-0.95826797,-0.66935056,0.66572803,january,2,1,weekday,,WECClink50-57
18,WECClink50-57,0.94994452,-0.94945726,-0.67023243,0.66655202,january,3,1,weekday,,WECClink50-57
24,WECClink50-57,0.94678169,-0.94629647,-0.67055897,0.66685796,january,4,1,weekday,,WECClink50-57
30,WECClink50-57,0.96805302,-0.96755394,-0.66836636,0.66480524,january,5,1,weekday,,WECClink50-57
36,WECClink50-57,1.0283307,-1.0277905,-0.66201566,0.65886868,january,6,1,weekday,,WECClink50-57
42,WECClink50-57,1.1200791,-1.1194716,-0.65172621,0.6492593000000001,january,7,1,weekday,,WECClink50-57
48,WECClink50-57,1.1350459,-1.1344268,-0.64993847,0.64758802,january,8,1,weekday,,WECClink50-57
54,WECClink50-57,1.0067732,-1.0062483,-0.66383708,0.660537,january,9,1,weekday,,WECClink50-57
60,WECClink50-57,0.88508081,-0.88463438,-0.6757668000000001,0.67167425,january,10,1,weekday,,WECClink50-57
66,WECClink50-57,0.80631517,-0.805914,-0.68268463,0.67813436,january,11,1,weekday,,WECClink50-57
72,WECClink50-57,0.79244632,-0.79205266,-0.68386745,0.6792412,january,12,1,weekday,,WECClink50-57
78,WECClink50-57,0.7910052,-0.7906123,-0.68401321,0.67937924,january,13,1,weekday,,WECClink50-57
84,WECClink50-57,0.79394886,-0.79355437,-0.68378621,0.67916831,january,14,1,weekday,,WECClink50-57
90,WECClink50-57,0.82745051,-0.82703757,-0.68099227,0.67656102,january,15,1,weekday,,WECClink50-57
96,WECClink50-57,0.9249521999999999,-0.92448108,-0.67230431,0.66846117,january,16,1,weekday,,WECClink50-57
102,WECClink50-57,1.1824066,-1.1817498,-0.64410749,0.64213635,january,17,1,weekday,,WECClink50-57
108,WECClink50-57,1.3357335,-1.3349438,-0.62345644,0.62282308,january,18,1,weekday,,WECClink50-57
114,WECClink50-57,1.4544618999999999,-1.4535572,-0.60643856,0.60696154,january,19,1,weekday,,WECClink50-57
120,WECClink50-57,1.4449426,-1.4440475,-0.60790024,0.60832684,january,20,1,weekday,,WECClink50-57
126,WECClink50-57,1.4142941,-1.4134295000000001,-0.61245092,0.61257145,january,21,1,weekday,,WECClink50-57
132,WECClink50-57,1.3284993999999999,-1.3277163,-0.62487566,0.62417687,january,22,1,weekday,,WECClink50-57
138,WECClink50-57,1.1970239,-1.1963552,-0.6423349,0.64048429,january,23,1,weekday,,WECClink50-57
144,WECClink50-57,1.0825048000000002,-1.0819256000000002,-0.65609411,0.65334167,january,0,3,weekend,,WECClink50-57
150,WECClink50-57,1.0071024,-1.006577,-0.66430298,0.66100726,january,1,3,weekend,,WECClink50-57
156,WECClink50-57,0.9764843000000001,-0.97597965,-0.66748228,0.66397747,january,2,3,weekend,,WECClink50-57
162,WECClink50-57,0.96664379,-0.96614568,-0.66845732,0.66488661,january,3,3,weekend,,WECClink50-57
168,WECClink50-57,0.96483943,-0.96434249,-0.66864262,0.66505993,january,4,3,weekend,,WECClink50-57
174,WECClink50-57,0.98633082,-0.98581961,-0.66640526,0.6629666999999999,january,5,3,weekend,,WECClink50-57
180,WECClink50-57,1.0484879999999999,-1.0479336,-0.65973507,0.656732,january,6,3,weekend,,WECClink50-57
186,WECClink50-57,1.1445147,-1.1438882,-0.6486884,0.64641214,january,7,3,weekend,,WECClink50-57
192,WECClink50-57,1.1524357,-1.1518030000000001,-0.64777827,0.6455649999999999,january,8,3,weekend,,WECClink50-57
198,WECClink50-57,0.9989471,-0.9984276,-0.66454601,0.66119141,january,9,3,weekend,,WECClink50-57
204,WECClink50-57,0.87311126,-0.87267202,-0.67679251,0.67262735,january,10,3,weekend,,WECClink50-57
210,WECClink50-57,0.79786363,-0.79746704,-0.68341862,0.67882192,january,11,3,weekend,,WECClink50-57
216,WECClink50-57,0.78374095,-0.78335192,-0.6846131,0.67993987,january,12,3,weekend,,WECClink50-57
222,WECClink50-57,0.77975264,-0.77936572,-0.68495287,0.68025829,january,13,3,weekend,,WECClink50-57
228,WECClink50-57,0.78019811,-0.77981094,-0.6849596,0.68026758,january,14,3,weekend,,WECClink50-57
234,WECClink50-57,0.80482017,-0.8044198,-0.68284462,0.6782862,january,15,3,weekend,,WECClink50-57
240,WECClink50-57,0.86293061,-0.86249745,-0.6775791,0.67335255,january,16,3,weekend,,WECClink50-57
246,WECClink50-57,1.1493216999999998,-1.1486915,-0.64801025,0.64577172,january,17,3,weekend,,WECClink50-57
252,WECClink50-57,1.4121299999999999,-1.4112675,-0.61274691,0.61284603,january,18,3,weekend,,WECClink50-57
258,WECClink50-57,1.4951328000000002,-1.4941864,-0.60000969,0.60095175,january,19,3,weekend,,WECClink50-57
264,WECClink50-57,1.4850832,-1.4841472,-0.60160016,0.60243747,january,20,3,weekend,,WECClink50-57
270,WECClink50-57,1.4546973,-1.4537924,-0.60624844,0.60677326,january,21,3,weekend,,WECClink50-57
276,WECClink50-57,1.3639765,-1.3631603,-0.61975605,0.61938923,january,22,3,weekend,,WECClink50-57
282,WECClink50-57,1.2281063,-1.2274117,-0.63835323,0.63676359,january,23,3,weekend,,WECClink50-57
0,WECClink54-57,-0.86119751,0.86174992,0.059998964,-0.077490028,january,0,1,weekday,,WECClink54-57
6,WECClink54-57,-0.7245265000000001,0.72498673,0.34109178,-0.36094286,january,1,1,weekday,,WECClink54-57
12,WECClink54-57,-0.71507442,0.71552567,0.34283687,-0.36282719,january,2,1,weekday,,WECClink54-57
18,WECClink54-57,-0.71263401,0.71308298,0.34333833,-0.36336465,january,3,1,weekday,,WECClink54-57
24,WECClink54-57,-0.7116869,0.71213498,0.34352765,-0.36356783,january,4,1,weekday,,WECClink54-57
30,WECClink54-57,-0.72011147,0.72056756,0.34214863,-0.36206657,january,5,1,weekday,,WECClink54-57
36,WECClink54-57,-0.7403483000000001,0.74082394,0.33840142,-0.35801703,january,6,1,weekday,,WECClink54-57
42,WECClink54-57,-0.77224955,0.77275727,0.33240148,-0.35152322,january,7,1,weekday,,WECClink54-57
48,WECClink54-57,-0.77889014,0.77940477,0.33128659,-0.35030408,january,8,1,weekday,,WECClink54-57
54,WECClink54-57,-0.75586675,0.75635856,0.33814633,-0.3575435,january,9,1,weekday,,WECClink54-57
60,WECClink54-57,-0.72272629,0.72318597,0.34517206,-0.36507494,january,10,1,weekday,,WECClink54-57
66,WECClink54-57,-0.69934395,0.69978179,0.349568,-0.36981117,january,11,1,weekday,,WECClink54-57
72,WECClink54-57,-0.69313056,0.69356264,0.35042414,-0.37075418,january,12,1,weekday,,WECClink54-57
78,WECClink54-57,-0.69199438,0.6924254,0.35054714,-0.3708927,january,13,1,weekday,,WECClink54-57
84,WECClink54-57,-0.69266754,0.69309917,0.35040761,-0.37074347,january,14,1,weekday,,WECClink54-57
90,WECClink54-57,-0.70176736,0.70220728,0.34863614,-0.3688416,january,15,1,weekday,,WECClink54-57
96,WECClink54-57,-0.72148302,0.72194097,0.34369062,-0.36360091,january,16,1,weekday,,WECClink54-57
102,WECClink54-57,-0.78658247,0.78710481,0.32860916,-0.34749509,january,17,1,weekday,,WECClink54-57
108,WECClink54-57,-0.86225946,0.86286608,0.31544899,-0.33307195,january,18,1,weekday,,WECClink54-57
114,WECClink54-57,-0.87580647,0.87642826,0.30873542,-0.32608336,january,19,1,weekday,,WECClink54-57
120,WECClink54-57,-0.87356563,0.8741848,0.30939476,-0.32678470000000004,january,20,1,weekday,,WECClink54-57
126,WECClink54-57,-0.86410387,0.86471196,0.3116948,-0.32925675,january,21,1,weekday,,WECClink54-57
132,WECClink54-57,-0.83633078,0.83690714,0.31812315,-0.33617629,january,22,1,weekday,,WECClink54-57
138,WECClink54-57,-0.79316564,0.79369497,0.32748326,-0.34626384,january,23,1,weekday,,WECClink54-57
144,WECClink54-57,-0.75547512,0.75596565,0.33513794,-0.35451914,january,0,3,weekend,,WECClink54-57
150,WECClink54-57,-0.73231944,0.73278721,0.33977998,-0.35951596,january,1,3,weekend,,WECClink54-57
156,WECClink54-57,-0.72291551,0.72337427,0.34162094,-0.36149755,january,2,3,weekend,,WECClink54-57
162,WECClink54-57,-0.72130911,0.7217664,0.34210992,-0.3620116,january,3,3,weekend,,WECClink54-57
168,WECClink54-57,-0.72075514,0.7212119,0.34221748,-0.36212736,january,4,3,weekend,,WECClink54-57
174,WECClink54-57,-0.72881613,0.72928064,0.34083915,-0.36063026,january,5,3,weekend,,WECClink54-57
180,WECClink54-57,-0.74950548,0.74999024,0.33693357,-0.35641152,january,6,3,weekend,,WECClink54-57
186,WECClink54-57,-0.78386708,0.78438692,0.33045693,-0.34939619,january,7,3,weekend,,WECClink54-57
192,WECClink54-57,-0.78676263,0.78728552,0.32992685,-0.34881964,january,8,3,weekend,,WECClink54-57
198,WECClink54-57,-0.75467101,0.75516166,0.33850157,-0.35791851,january,9,3,weekend,,WECClink54-57
204,WECClink54-57,-0.71959305,0.72004975,0.34580095,-0.36575054,january,10,3,weekend,,WECClink54-57
210,WECClink54-57,-0.69351185,0.69394422,0.35019458,-0.37051832,january,11,3,weekend,,WECClink54-57
216,WECClink54-57,-0.68741708,0.68784385,0.35104755,-0.37145592,january,12,3,weekend,,WECClink54-57
222,WECClink54-57,-0.68584696,0.68627231,0.35129161,-0.37172169,january,13,3,weekend,,WECClink54-57
228,WECClink54-57,-0.684703,0.68512727,0.35134795,-0.37179307,january,14,3,weekend,,WECClink54-57
234,WECClink54-57,-0.69648444,0.69691957,0.34979329,-0.37007542,january,15,3,weekend,,WECClink54-57
240,WECClink54-57,-0.72553653,0.72599929,0.34591136,-0.36578009,january,16,3,weekend,,WECClink54-57
246,WECClink54-57,-0.78617961,0.78670188,0.33002459999999995,-0.34892736,january,17,3,weekend,,WECClink54-57
252,WECClink54-57,-0.86136197,0.86196682,0.31203012,-0.3296389,january,18,3,weekend,,WECClink54-57
258,WECClink54-57,-0.88910136,0.889739,0.30548097,-0.32258392,january,19,3,weekend,,WECClink54-57
264,WECClink54-57,-0.88667323,0.88730797,0.30619741,-0.32334655,january,20,3,weekend,,WECClink54-57
270,WECClink54-57,-0.87737247,0.87799613,0.30851608,-0.32583732,january,21,3,weekend,,WECClink54-57
276,WECClink54-57,-0.84818465,0.8487744,0.31542691,-0.33327314,january,22,3,weekend,,WECClink54-57
282,WECClink54-57,-0.80281999,0.80335958,0.32535865,-0.34397968,january,23,3,weekend,,WECClink54-57
0,WECClink54-57,-0.86119751,0.86174992,0.059998964,-0.077490028,january,0,1,weekday,,WECClink54-57
6,WECClink54-57,-0.7245265000000001,0.72498673,0.34109178,-0.36094286,january,1,1,weekday,,WECClink54-57
12,WECClink54-57,-0.71507442,0.71552567,0.34283687,-0.36282719,january,2,1,weekday,,WECClink54-57
18,WECClink54-57,-0.71263401,0.71308298,0.34333833,-0.36336465,january,3,1,weekday,,WECClink54-57
24,WECClink54-57,-0.7116869,0.71213498,0.34352765,-0.36356783,january,4,1,weekday,,WECClink54-57
30,WECClink54-57,-0.72011147,0.72056756,0.34214863,-0.36206657,january,5,1,weekday,,WECClink54-57
36,WECClink54-57,-0.7403483000000001,0.74082394,0.33840142,-0.35801703,january,6,1,weekday,,WECClink54-57
42,WECClink54-57,-0.77224955,0.77275727,0.33240148,-0.35152322,january,7,1,weekday,,WECClink54-57
48,WECClink54-57,-0.77889014,0.77940477,0.33128659,-0.35030408,january,8,1,weekday,,WECClink54-57
